Route,URL,Avg Stars,Rating,Pitches,Length,Area Latitude,Area Longitude,PG13,R,State,Region,Location,Crag,Wall,Trad,Alpine,TR,Aid,Boulder,Mixed,numVotes,numViews,Year
The Notovitch Codex,https://www.mountainproject.com/route/108019708/the-notovitch-codex,1.3,5.7 ,1,50.0,38.65092,-109.49562,True,False,Utah,Southeast Utah,River Road,Utopia,,True,False,False,False,False,False,"Avg: 1.3 from 9
    votes","Page Views: 1,998 total · 15/month","Shared By: paul bucher on Feb 28, 2013"
Qebehsenuef,https://www.mountainproject.com/route/107993538/qebehsenuef,1.0,5.8+ ,1,40.0,38.65092,-109.49562,True,False,Utah,Southeast Utah,River Road,Utopia,,True,False,False,False,False,False,"Avg: 1 from 3
    votes","Page Views: 2,130 total · 16/month","Shared By: paul bucher on Feb 8, 2013"
Minions,https://www.mountainproject.com/route/116630583/minions,2.4,5.6,1,80.0,38.66006,-109.49974,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.4 from 42
    votes","Page Views: 2,997 total · 53/month","Shared By: Lynn S on Mar 20, 2019"
One Eyed Willy,https://www.mountainproject.com/route/112542433/one-eyed-willy,2.3,5.7,1,45.0,38.66006,-109.49974,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.3 from 83
    votes","Page Views: 3,505 total · 43/month","Shared By: Dylan Ring on Mar 10, 2017 · Updates"
Adventures in Babysitting,https://www.mountainproject.com/route/112542521/adventures-in-babysitting,2.7,5.7,1,90.0,38.66006,-109.49974,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2.7 from 121
    votes","Page Views: 5,887 total · 73/month","Shared By: Dylan Ring on Mar 10, 2017 · Updates"
Opening Act,https://www.mountainproject.com/route/120042588/opening-act,1.1,5.6,1,60.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 1.1 from 10
    votes",Page Views: 697 total · 20/month,"Shared By: John Collis on Dec 7, 2020"
Soliloquy,https://www.mountainproject.com/route/120002850/soliloquy,2.0,5.7,1,70.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 2 from 25
    votes",Page Views: 824 total · 23/month,"Shared By: Joe Stern on Nov 29, 2020"
Acting Out,https://www.mountainproject.com/route/120002891/acting-out,1.9,5.7,1,70.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 1.9 from 17
    votes",Page Views: 771 total · 22/month,"Shared By: Joe Stern on Nov 29, 2020"
Break A Leg,https://www.mountainproject.com/route/120042606/break-a-leg,1.4,5.7,1,60.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 1.4 from 14
    votes",Page Views: 717 total · 20/month,"Shared By: John Collis on Dec 7, 2020 · Updates"
Rising Action,https://www.mountainproject.com/route/120042644/rising-action,1.0,5.7,1,70.0,38.6618,-109.49886,False,False,Utah,Southeast Utah,River Road,Out Beach,,False,False,False,False,False,False,"Avg: 1 from 3
    votes",Page Views: 555 total · 16/month,"Shared By: John Collis on Dec 7, 2020 · Updates"
Left Slab,https://www.mountainproject.com/route/105949876/left-slab,2.1,5.7,1,50.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,False,False,False,False,"Avg: 2.1 from 199
    votes","Page Views: 7,428 total · 37/month","Shared By: Perin Blanchard on Apr 22, 2007"
Black Slab,https://www.mountainproject.com/route/106618148/black-slab,2.1,5.7,1,50.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,False,False,False,False,"Avg: 2.1 from 161
    votes","Page Views: 11,569 total · 68/month","Shared By: GRK on Dec 1, 2009"
Slab Route,https://www.mountainproject.com/route/105954561/slab-route,2.0,5.7+,1,70.0,38.5092,-109.5995,False,False,Utah,Southeast Utah,Kane Springs Canyon,Ice Cream Parlor,,False,False,False,False,False,False,"Avg: 2 from 111
    votes","Page Views: 6,146 total · 31/month","Shared By: Mike Epke on Apr 30, 2007"
Unknown Needle,https://www.mountainproject.com/route/108009343/unknown-needle,2.7,5.8 A0+ ,1,70.0,38.5172,-109.5951,True,False,Utah,Southeast Utah,Kane Springs Canyon,Gatherer Canyon,,True,False,False,True,False,False,"Avg: 2.7 from 7
    votes","Page Views: 1,670 total · 13/month","Shared By: paul bucher on Feb 20, 2013"
Learning Curve,https://www.mountainproject.com/route/105718009/learning-curve,2.1,5.7,1,120.0,38.8607,-109.7425,False,False,Utah,Southeast Utah,Sunshine Wall,Sunshine Wall Routes,,True,False,False,False,False,False,"Avg: 2.1 from 49
    votes","Page Views: 15,464 total · 62/month","Shared By: Peter Gram on May 12, 2003"
Melanoma Shuffle,https://www.mountainproject.com/route/105718276/melanoma-shuffle,2.4,5.8,1,140.0,38.8607,-109.7425,False,False,Utah,Southeast Utah,Sunshine Wall,Sunshine Wall Routes,,False,False,False,False,False,False,"Avg: 2.4 from 32
    votes","Page Views: 16,908 total · 74/month","Shared By: Anonymous Coward on Dec 31, 2004"
Mosquito Coast,https://www.mountainproject.com/route/106417544/mosquito-coast,1.9,5.8 ,1,120.0,38.8607,-109.7425,True,False,Utah,Southeast Utah,Sunshine Wall,Sunshine Wall Routes,,True,False,False,False,False,False,"Avg: 1.9 from 20
    votes","Page Views: 4,097 total · 23/month","Shared By: Mike Epke on Apr 28, 2009"
Moab? Moab!,https://www.mountainproject.com/route/116717566/moab-moab,1.0,5.7,1,30.0,38.8614,-109.74396,False,False,Utah,Southeast Utah,Sunshine Wall,Family Friendly,,False,False,True,False,False,False,"Avg: 1 from 20
    votes","Page Views: 2,961 total · 53/month","Shared By: Jacob Shirley on Apr 9, 2019 · Updates"
Reach Around,https://www.mountainproject.com/route/116717678/reach-around,0.6,5.7,1,30.0,38.8614,-109.74396,False,False,Utah,Southeast Utah,Sunshine Wall,Family Friendly,,False,False,True,False,False,False,"Avg: 0.6 from 16
    votes","Page Views: 1,617 total · 29/month","Shared By: Jacob Shirley on Apr 9, 2019 · Updates"
DontChaKnow,https://www.mountainproject.com/route/120410730/dontchaknow,0.7,5.8,1,40.0,38.8614,-109.74396,False,False,Utah,Southeast Utah,Sunshine Wall,Family Friendly,,False,False,False,False,False,False,"Avg: 0.8 from 12
    votes",Page Views: 806 total · 25/month,"Shared By: R G on Mar 20, 2021"
Zig,https://www.mountainproject.com/route/120410752/zig,0.6,5.8+,1,60.0,38.8614,-109.74396,False,False,Utah,Southeast Utah,Sunshine Wall,Family Friendly,,False,False,False,False,False,False,"Avg: 0.6 from 12
    votes",Page Views: 836 total · 26/month,"Shared By: R G on Mar 20, 2021"
CaronaCation,https://www.mountainproject.com/route/120457045/caronacation,1.1,5.6,1,120.0,38.86412,-109.74824,False,False,Utah,Southeast Utah,Sunshine Wall,Sunbeam Wall,,False,False,False,False,False,False,"Avg: 1.1 from 19
    votes","Page Views: 2,133 total · 68/month","Shared By: R G on Mar 28, 2021"
Vaccination Vacation,https://www.mountainproject.com/route/120459915/vaccination-vacation,1.0,5.7,1,90.0,38.86412,-109.74824,False,False,Utah,Southeast Utah,Sunshine Wall,Sunbeam Wall,,False,False,True,False,False,False,"Avg: 1 from 11
    votes",Page Views: 970 total · 31/month,"Shared By: R G on Mar 29, 2021"
Sprang Brake,https://www.mountainproject.com/route/120459808/sprang-brake,0.5,5.7+,1,90.0,38.86412,-109.74824,False,False,Utah,Southeast Utah,Sunshine Wall,Sunbeam Wall,,False,False,True,False,False,False,"Avg: 0.5 from 12
    votes",Page Views: 733 total · 23/month,"Shared By: R G on Mar 29, 2021"
Stimulus Check,https://www.mountainproject.com/route/120459877/stimulus-check,0.5,5.8,1,90.0,38.86412,-109.74824,False,False,Utah,Southeast Utah,Sunshine Wall,Sunbeam Wall,,False,False,True,False,False,False,"Avg: 0.5 from 15
    votes",Page Views: 783 total · 25/month,"Shared By: R G on Mar 29, 2021"
Of Kors,https://www.mountainproject.com/route/112836687/of-kors,1.5,5.6 X,1,100.0,38.65324,-109.7204,False,False,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,True,False,False,False,"Avg: 1.5 from 2
    votes",Page Views: 907 total · 11/month,"Shared By: Aaron Glasenapp on Apr 18, 2017"
Big Bolts,https://www.mountainproject.com/route/112836693/big-bolts,2.0,5.6 ,1,100.0,38.65324,-109.7204,False,True,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,True,False,False,False,"Avg: 2 from 4
    votes","Page Views: 1,372 total · 17/month","Shared By: Aaron Glasenapp on Apr 18, 2017 · Updates"
Tide to Tye,https://www.mountainproject.com/route/112836417/tide-to-tye,1.7,5.8,1,100.0,38.65324,-109.7204,False,False,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,True,False,False,False,"Avg: 1.7 from 16
    votes",Page Views: 924 total · 12/month,"Shared By: Aaron Glasenapp on Apr 18, 2017"
Refuse to Feel,https://www.mountainproject.com/route/112836663/refuse-to-feel,1.8,5.8,1,100.0,38.65324,-109.7204,False,False,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,True,False,False,False,"Avg: 1.8 from 13
    votes","Page Views: 1,344 total · 17/month","Shared By: Aaron Glasenapp on Apr 18, 2017 · Updates"
Kneeling Before Your Bounty,https://www.mountainproject.com/route/112836680/kneeling-before-your-bounty,1.8,5.8,1,100.0,38.65324,-109.7204,False,False,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,True,False,False,False,"Avg: 1.8 from 13
    votes",Page Views: 858 total · 11/month,"Shared By: Aaron Glasenapp on Apr 18, 2017"
Swimming in Your Ocean,https://www.mountainproject.com/route/112836676/swimming-in-your-ocean,1.4,5.8+,1,100.0,38.65324,-109.7204,False,False,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,True,False,False,False,"Avg: 1.4 from 10
    votes",Page Views: 790 total · 10/month,"Shared By: Aaron Glasenapp on Apr 18, 2017"
What's This?,https://www.mountainproject.com/route/120562225/whats-this,2.0,5.8+,1,100.0,38.65324,-109.7204,False,False,Utah,Southeast Utah,State Highway 313,313 Slabs,,False,False,False,False,False,False,"Avg: 2 from 4
    votes",Page Views: 294 total · 10/month,"Shared By: Hansen Wendlandt on Apr 17, 2021"
Funtastic,https://www.mountainproject.com/route/108752475/funtastic,1.3,5.7 ,1,75.0,38.3615,-109.4306,True,False,Utah,Southeast Utah,191 South,Muleshoe Canyon,Sunvana Wall,True,False,False,False,False,False,"Avg: 1.3 from 4
    votes","Page Views: 1,838 total · 16/month","Shared By: paul bucher on Mar 17, 2014"
Boogie Fever,https://www.mountainproject.com/route/109013643/boogie-fever,1.0,5.7 ,1,100.0,38.3615,-109.4306,True,False,Utah,Southeast Utah,191 South,Muleshoe Canyon,Sunvana Wall,True,False,False,False,False,False,"Avg: 1 from 4
    votes","Page Views: 1,704 total · 15/month","Shared By: paul bucher on May 24, 2014"
Climbalicious,https://www.mountainproject.com/route/108717310/climbalicious,1.5,5.8 ,1,110.0,38.3615,-109.4306,True,False,Utah,Southeast Utah,191 South,Muleshoe Canyon,Sunvana Wall,True,False,False,False,False,False,"Avg: 1.5 from 2
    votes","Page Views: 1,350 total · 11/month","Shared By: paul bucher on Mar 6, 2014"
Pandemonious Avoidicus,https://www.mountainproject.com/route/108752669/pandemonious-avoidicus,1.8,5.8 ,1,75.0,38.3615,-109.4306,False,True,Utah,Southeast Utah,191 South,Muleshoe Canyon,Sunvana Wall,False,False,False,False,False,False,"Avg: 1.8 from 5
    votes","Page Views: 2,197 total · 19/month","Shared By: paul bucher on Mar 17, 2014"
Good Times,https://www.mountainproject.com/route/110794487/good-times,3.1,5.7,1,,38.47194,-109.28111,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Good Times Wall,False,False,False,False,False,False,"Avg: 3.1 from 56
    votes","Page Views: 4,834 total · 48/month","Shared By: Woobly Climber on Jul 24, 2015"
Salad Days,https://www.mountainproject.com/route/110794482/salad-days,2.1,5.8,1,,38.47194,-109.28111,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Good Times Wall,False,False,False,False,False,False,"Avg: 2.1 from 39
    votes","Page Views: 1,440 total · 14/month","Shared By: Woobly Climber on Jul 24, 2015"
Sweet Cheeba,https://www.mountainproject.com/route/110794749/sweet-cheeba,2.6,5.7,1,,38.47144,-109.27882,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Ganja Wall,False,False,False,False,False,False,"Avg: 2.6 from 21
    votes","Page Views: 2,764 total · 27/month","Shared By: Woobly Climber on Jul 24, 2015"
Chillum,https://www.mountainproject.com/route/110794736/chillum,2.5,5.8,1,,38.47144,-109.27882,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Ganja Wall,False,False,False,False,False,False,"Avg: 2.5 from 32
    votes","Page Views: 2,496 total · 25/month","Shared By: Woobly Climber on Jul 24, 2015"
EZ1,https://www.mountainproject.com/route/114524537/ez1,2.0,5.7,1,40.0,38.47235,-109.28208,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Times Up,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 707 total · 11/month,"Shared By: Mike Robinson on Jun 26, 2018"
no need to name,https://www.mountainproject.com/route/114524554/no-need-to-name,2.0,5.8+,1,50.0,38.47235,-109.28208,False,False,Utah,Southeast Utah,La Sal Mountains,Lower Dakota Crag,Times Up,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 689 total · 11/month,"Shared By: Mike Robinson on Jun 26, 2018"
Up In Smoke,https://www.mountainproject.com/route/110794226/up-in-smoke,1.8,5.8,1,,38.47028,-109.27448,False,False,Utah,Southeast Utah,La Sal Mountains,Upper Dakota Crag,Trenchtown,False,False,False,False,False,False,"Avg: 1.8 from 10
    votes","Page Views: 1,218 total · 12/month","Shared By: Woobly Climber on Jul 24, 2015 · Updates"
Unknown 5.6,https://www.mountainproject.com/route/106809263/unknown-56,2.0,5.6,1,40.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 2 from 125
    votes","Page Views: 3,797 total · 23/month","Shared By: Perin Blanchard on Jun 27, 2010"
Late for Dinner,https://www.mountainproject.com/route/107647762/late-for-dinner,2.3,5.6,1,60.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 2.3 from 170
    votes","Page Views: 6,418 total · 46/month","Shared By: bsmoot on Jun 8, 2012 · Updates"
Rockapella,https://www.mountainproject.com/route/105741968/rockapella,2.5,5.7,1,70.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 2.5 from 363
    votes","Page Views: 17,935 total · 73/month","Shared By: Spencer Anderson on Sep 22, 2003 · Updates"
Stoic Calculus,https://www.mountainproject.com/route/105741971/stoic-calculus,2.5,5.8,1,70.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 2.5 from 348
    votes","Page Views: 11,300 total · 46/month","Shared By: Spencer Anderson on Sep 23, 2003 · Updates"
Gas Boost,https://www.mountainproject.com/route/105817604/gas-boost,1.7,5.8+,1,45.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 1.7 from 210
    votes","Page Views: 4,762 total · 22/month","Shared By: Perin Blanchard on Apr 21, 2006"
Land Shark,https://www.mountainproject.com/route/116120021/land-shark,2.6,5.8+,1,85.0,40.4507,-111.6717,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hard Rock,False,False,False,False,False,False,"Avg: 2.6 from 72
    votes","Page Views: 1,502 total · 25/month","Shared By: Helen Wang on Nov 21, 2018 · Updates"
Time Crunch,https://www.mountainproject.com/route/106195315/time-crunch,2.0,5.8,1,38.0,40.4461,-111.6948,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Juniper Wall,False,False,True,False,False,False,"Avg: 2 from 48
    votes","Page Views: 2,781 total · 15/month","Shared By: Perin Blanchard on Jul 1, 2008 · Updates"
Strawberry Fields,https://www.mountainproject.com/route/115683289/strawberry-fields,1.9,5.8+,1,40.0,40.44649,-111.68579,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Isolation Wall,False,False,False,False,False,False,"Avg: 1.9 from 20
    votes","Page Views: 1,188 total · 19/month","Shared By: Kory Kowallis on Oct 28, 2018"
Yang,https://www.mountainproject.com/route/122813571/yang,2.0,5.8+,1,40.0,40.4493,-111.6726,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Little Mill Area,False,False,True,False,False,False,"Avg: 2 from 3
    votes",Page Views: 162 total · 11/month,"Shared By: Scott Unice on Jul 29, 2022"
Leap of Faith,https://www.mountainproject.com/route/118047559/leap-of-faith,2.7,5.7,1,50.0,40.44548,-111.69298,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,52 Wall,False,False,False,False,False,False,"Avg: 2.7 from 7
    votes","Page Views: 1,460 total · 30/month","Shared By: Kory Kowallis on Nov 15, 2019"
Unknown,https://www.mountainproject.com/route/108376925/unknown,2.1,5.8,1,80.0,40.4451,-111.6911,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Forgotten Trails,False,False,False,False,False,False,"Avg: 2.1 from 12
    votes",Page Views: 823 total · 7/month,"Shared By: Perin Blanchard on Oct 8, 2013"
Bug Bananas,https://www.mountainproject.com/route/106492417/bug-bananas,1.5,5.7+,1,40.0,40.4469,-111.6881,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Tank Canyon,False,False,False,False,False,False,"Avg: 1.5 from 22
    votes","Page Views: 1,890 total · 11/month","Shared By: Perin Blanchard on Jul 18, 2009"
Half Pint,https://www.mountainproject.com/route/106206806/half-pint,2.0,5.8,1,30.0,40.4469,-111.6881,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Tank Canyon,False,False,False,False,False,False,"Avg: 2 from 26
    votes","Page Views: 2,364 total · 13/month","Shared By: John Ross on Jul 16, 2008"
Easy Unknown,https://www.mountainproject.com/route/120513538/easy-unknown,2.3,5.6,1,25.0,40.4476,-111.6866,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Tank Canyon,False,False,False,False,False,False,"Avg: 2.3 from 3
    votes",Page Views: 363 total · 12/month,"Shared By: Caleb Perkins on Apr 8, 2021"
Sheridan,https://www.mountainproject.com/route/106493623/sheridan,1.5,5.8,1,25.0,40.4476,-111.6866,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Tank Canyon,False,False,True,False,False,False,"Avg: 1.5 from 10
    votes","Page Views: 1,842 total · 11/month","Shared By: John Ross on Jul 19, 2009"
Tanks For Nothing,https://www.mountainproject.com/route/106496085/tanks-for-nothing,1.1,5.7,1,35.0,40.4469,-111.6881,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Tank Canyon,False,False,False,False,False,False,"Avg: 1.1 from 11
    votes",Page Views: 797 total · 5/month,"Shared By: Perin Blanchard on Jul 22, 2009"
Nair,https://www.mountainproject.com/route/106496054/nair,1.9,5.7,1,35.0,40.4469,-111.6881,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Tank Canyon,False,False,False,False,False,False,"Avg: 1.9 from 16
    votes",Page Views: 769 total · 4/month,"Shared By: Perin Blanchard on Jul 22, 2009"
unknown,https://www.mountainproject.com/route/107108510/unknown,2.0,5.6,1,35.0,40.4338,-111.7517,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Cheese Grater,False,False,True,False,False,False,"Avg: 2 from 2
    votes","Page Views: 1,134 total · 7/month","Shared By: jacob m s on Apr 19, 2011"
Tree Bark,https://www.mountainproject.com/route/107120576/tree-bark,2.0,5.6,1,35.0,40.4338,-111.7517,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Cheese Grater,False,False,True,False,False,False,"Avg: 2 from 8
    votes","Page Views: 1,528 total · 10/month","Shared By: jacob m s on Apr 30, 2011 · Updates"
Ting,https://www.mountainproject.com/route/107628705/ting,1.6,5.7,1,30.0,40.4477,-111.7005,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Hideaway,False,False,False,False,False,False,"Avg: 1.6 from 10
    votes",Page Views: 768 total · 6/month,"Shared By: Perin Blanchard on May 28, 2012"
Unknown Dihedral,https://www.mountainproject.com/route/121734035/unknown-dihedral,2.5,5.7+,1,45.0,40.4477,-111.7005,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Hideaway,False,False,False,False,False,False,"Avg: 2.5 from 2
    votes",Page Views: 213 total · 9/month,"Shared By: Hansen Wendlandt on Dec 3, 2021"
Unknown 5.8,https://www.mountainproject.com/route/114484281/unknown-58,2.3,5.8,1,60.0,40.4445,-111.6966,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Unknown Pleasures,False,False,False,False,False,False,"Avg: 2.3 from 6
    votes",Page Views: 716 total · 11/month,"Shared By: Nate Redon on Jun 15, 2018"
Unknown Trough,https://www.mountainproject.com/route/108193200/unknown-trough,1.3,5.8,1,40.0,40.4416,-111.7,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Temple,False,False,False,False,False,False,"Avg: 1.3 from 4
    votes",Page Views: 601 total · 5/month,"Shared By: Perin Blanchard on Jun 14, 2013"
Shindig,https://www.mountainproject.com/route/108326358/shindig,2.3,5.8,1,60.0,40.45095,-111.66614,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Serenity,False,False,False,False,False,False,"Avg: 2.3 from 180
    votes","Page Views: 3,533 total · 29/month","Shared By: Darren Knezek on Sep 7, 2013"
Stolen Rope,https://www.mountainproject.com/route/112928043/stolen-rope,2.5,5.8,1,55.0,40.45095,-111.66614,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Serenity,False,False,False,False,False,False,"Avg: 2.5 from 125
    votes","Page Views: 2,179 total · 28/month","Shared By: darrell hodges on May 21, 2017 · Updates"
The Companion,https://www.mountainproject.com/route/108326409/the-companion,2.3,5.8+,1,85.0,40.45095,-111.66614,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Serenity,False,False,False,False,False,False,"Avg: 2.3 from 93
    votes","Page Views: 2,718 total · 22/month","Shared By: John Ross on Sep 7, 2013"
Shoot 'em Politely,https://www.mountainproject.com/route/108326427/shoot-em-politely,1.7,5.7+,1,40.0,40.45068,-111.66634,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Serenity,False,False,False,False,False,False,"Avg: 1.7 from 60
    votes","Page Views: 1,713 total · 14/month","Shared By: Darren Knezek on Sep 7, 2013"
Terraformed,https://www.mountainproject.com/route/108326451/terraformed,2.3,5.8,1,60.0,40.45068,-111.66634,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Serenity,False,False,False,False,False,False,"Avg: 2.3 from 67
    votes","Page Views: 1,823 total · 15/month","Shared By: John Ross on Sep 7, 2013"
Old Feller,https://www.mountainproject.com/route/107719927/old-feller,2.3,5.6,1,42.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2.3 from 26
    votes","Page Views: 1,939 total · 14/month","Shared By: Orphaned User on Jul 24, 2012 · Updates"
Red Slab,https://www.mountainproject.com/route/105741245/red-slab,2.5,5.6,1,70.0,40.2645,-111.6236,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,Red Slab,False,False,True,False,False,False,"Avg: 2.5 from 211
    votes","Page Views: 10,721 total · 46/month","Shared By: Lee Jensen on Sep 26, 2004 · Updates"
Mr. Cornflakes,https://www.mountainproject.com/route/105741626/mr-cornflakes,2.5,5.7+,1,70.0,40.2645,-111.6236,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,Red Slab,False,False,False,False,False,False,"Avg: 2.5 from 147
    votes","Page Views: 4,665 total · 21/month","Shared By: Perin Blanchard on Jul 2, 2005"
I.D. Claire,https://www.mountainproject.com/route/105999231/id-claire,1.1,5.6,1,35.0,40.2645,-111.6232,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,Ed and Terry Wall,False,False,False,False,False,False,"Avg: 1.1 from 8
    votes","Page Views: 2,239 total · 11/month","Shared By: Perin Blanchard on Jul 26, 2007"
I'm Not Lichen This,https://www.mountainproject.com/route/106165922/im-not-lichen-this,1.6,5.6,1,40.0,40.2645,-111.6232,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,Ed and Terry Wall,False,False,False,False,False,False,"Avg: 1.6 from 8
    votes","Page Views: 2,512 total · 13/month","Shared By: Perin Blanchard on May 19, 2008"
Blind Date,https://www.mountainproject.com/route/105968522/blind-date,1.6,5.7+,1,35.0,40.2645,-111.6232,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,Ed and Terry Wall,False,False,True,False,False,False,"Avg: 1.6 from 24
    votes","Page Views: 2,537 total · 13/month","Shared By: Perin Blanchard on May 28, 2007"
Real McCoy,https://www.mountainproject.com/route/105741230/real-mccoy,2.9,5.8,1,90.0,40.2645,-111.6232,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,Ed and Terry Wall,False,False,True,False,False,False,"Avg: 2.9 from 75
    votes","Page Views: 4,461 total · 19/month","Shared By: John J. Glime on Sep 24, 2004 · Updates"
Lounge Lizards P2/3,https://www.mountainproject.com/route/105980140/lounge-lizards-p23,2.1,5.7,1,65.0,40.2656,-111.6217,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,George,False,False,False,False,False,False,"Avg: 2.1 from 13
    votes","Page Views: 1,652 total · 8/month","Shared By: Perin Blanchard on Jun 18, 2007"
Curious George,https://www.mountainproject.com/route/105741353/curious-george,3.0,5.8,1,95.0,40.2656,-111.6217,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,George,False,False,False,False,False,False,"Avg: 3 from 125
    votes","Page Views: 6,466 total · 28/month","Shared By: Lee Jensen on Nov 9, 2004 · Updates"
Hobnail Arete,https://www.mountainproject.com/route/106784748/hobnail-arete,1.5,5.6,1,30.0,40.2656,-111.6204,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,s Mother,True,False,False,False,False,False,"Avg: 1.5 from 8
    votes","Page Views: 1,594 total · 10/month","Shared By: Christian Knight on Jun 2, 2010"
High Hopes,https://www.mountainproject.com/route/105967748/high-hopes,2.0,5.7,1,40.0,40.2656,-111.6204,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,s Mother,False,False,True,False,False,False,"Avg: 2 from 101
    votes","Page Views: 3,080 total · 15/month","Shared By: Perin Blanchard on May 26, 2007"
Mama's Boy,https://www.mountainproject.com/route/105964845/mamas-boy,2.3,5.8+,1,80.0,40.2656,-111.6204,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,s Mother,False,False,False,False,False,False,"Avg: 2.3 from 72
    votes","Page Views: 1,191 total · 6/month","Shared By: Lee Jensen on May 21, 2007"
